Team,Survived,TimeAlive,TravelledDistance,RLethalGrenadesThrown,RNonLethalGrenadesThrown,FirstKillTime,RoundKills,RoundAssists,RoundHeadshots,RoundFlankKills,RoundStartingEquipmentValue,TeamStartingEquipmentValue,MatchKills,MatchAssists,MatchHeadshots,Kills_per_minute,Assist_to_Kill_Ratio,Accuracy,Equipamiento_total,GrenadeActivity
0,1,10646,-1.4645614739992667,-1.054461378759474,-0.5207996611422865,11816,-0.7874367562832917,0.0,-0.5252080787055295,0.0,1.2295735343379144,1.256206522550958,0.6563385008268704,-1.0343435006629729,0.3727288766374285,0.00373606172741947,-1.575929949804686,0.5735701393862079,2.5106378574577612,-1.5752610399017606
0,1,10646,-0.2090736559981015,0.6094330214553662,-0.5207996611422865,12974,-0.7874367562832917,0.0,-0.5252080787055295,0.0,1.07532923698047,1.256206522550958,-0.7460206807741528,0.1619875872413246,-0.621756214995506,-0.004246557698188338,-0.2171355183789657,0.8417645694403628,2.3548511171267426,0.0886333603130796
1,0,6934,-0.3670519252560136,-1.054461378759474,-1.383831600451486,578,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.0942118859887953,-1.2719053738745365,-1.0343435006629729,-1.284746276084129,-0.0110058151763011,0.813223626465315,1.010095799949705,-0.2528370278678816,-2.43829297921096
1,0,6929,-0.3041991834401568,-1.054461378759474,-1.383831600451486,1056,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.0942118859887953,-1.2719053738745365,-1.0343435006629729,-0.9532512455398175,-0.0110137570259016,0.813223626465315,0.749467110620014,-0.2528370278678816,-2.43829297921096
1,1,7492,-1.6309907984380585,-1.054461378759474,-1.383831600451486,6829,0.651795899432319,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.0942118859887953,-0.7460206807741528,-1.0343435006629729,-0.621756214995506,-0.006034283669903028,1.3864810015583278,0.8417645694403628,-0.2553653981465604,-2.43829297921096
0,1,7492,-0.2343696281063249,0.6094330214553662,-1.383831600451486,3261,0.651795899432319,0.0,1.4769151562722802,0.0,0.4583520475506917,1.256206522550958,0.8316333985269984,0.7601531311934734,1.6987089988146749,0.006726773084721817,0.9140483445468496,2.063043754425554,1.7317041558026662,-0.7743985789961197
0,1,7492,-0.4702591577069226,0.6094330214553662,-0.5207996611422865,4797,0.651795899432319,0.0,1.4769151562722802,0.0,1.07532923698047,1.256206522550958,0.4810436031267425,1.3583186751456222,0.3727288766374285,0.003890982694805185,2.82369137915288,0.7825822086747848,2.3548511171267426,0.0886333603130796
1,1,19668,1.288586680409476,-1.054461378759474,0.342232278166913,578,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.62135803395142,-0.3749919511307242,-1.2719053738745365,-1.0343435006629729,-1.284746276084129,-0.003918927478991028,0.813223626465315,1.0201967579492022,-1.0063134849329656,-0.7122291005925612
1,1,19668,0.8449023077314111,0.6094330214553662,-1.383831600451486,1056,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.3749919511307242,-1.2719053738745365,-1.0343435006629729,-0.9532512455398175,-0.003918927478991028,0.813223626465315,0.7569617817262142,-0.5389532639399086,-0.7743985789961197
1,0,8205,0.2555684511561648,0.6094330214553662,0.342232278166913,5282,0.651795899432319,0.0,1.4769151562722802,0.0,-0.0043808445216418,-0.3749919511307242,-1.0966104761744089,-1.0343435006629729,-0.9532512455398175,-0.0080190894052973,0.943218693543164,0.8692705990419601,-0.379372795652366,0.9516652996222792
1,0,12155,0.4939458012837657,0.6094330214553662,-0.5207996611422865,2677,2.091028555147929,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.3749919511307242,-0.5707257830740249,-1.0343435006629729,-0.9532512455398175,-0.0028172395709125,1.8123300739837356,1.6702438786021656,-0.5336170930098105,0.0886333603130796
0,0,4257,-0.7937411679681954,0.6094330214553662,-1.383831600451486,3261,-0.7874367562832917,0.0,-0.5252080787055295,0.0,0.4583520475506917,1.389911315475686,0.8316333985269984,0.7601531311934734,1.6987089988146749,0.0117214009658491,0.9140483445468496,2.0426175786391623,1.8482633630263776,-0.7743985789961197
0,0,5550,-0.4709186198912313,-1.054461378759474,-1.383831600451486,3768,-0.7874367562832917,0.0,-0.5252080787055295,0.0,1.2295735343379144,1.389911315475686,0.8316333985269984,-0.4361779567108241,0.3727288766374285,0.008990631335427,-0.5244834532660534,0.4481889223035192,2.6194848498136003,-2.43829297921096
1,0,16112,0.4940387693870669,-1.054461378759474,-0.5207996611422865,578,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.2011757203285777,-1.2719053738745365,-1.0343435006629729,-1.284746276084129,-0.0047364897239617,0.813223626465315,1.010095799949705,-0.359800862207664,-1.5752610399017606
1,0,5792,-0.5461674107858736,-1.054461378759474,-1.383831600451486,4868,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.1586251418790863,-0.2011757203285777,-0.5707257830740249,-1.0343435006629729,-0.2902611844511945,-0.0059122146036673,1.8123300739837356,0.5085825681254472,-0.359800862207664,-2.43829297921096
1,0,4770,-0.739873117823688,0.6094330214553662,-1.383831600451486,5282,-0.7874367562832917,0.0,-0.5252080787055295,0.0,-0.4671137365939754,-0.2011757203285777,-1.0966104761744089,-1.0343435006629729,-0.9532512455398175,-0.0137938424676026,0.943218693543164,0.8692705990419601,-0.6682894569225531,-0.7743985789961197
